Product ID,TimeKey,Predicted_Profit_Uplift,Promote_Flag
P0001,2023-W52,-290.62264576133634,0
P0001,2023-W52,-571.1645942837797,0
P0001,2023-W01,-1501.0776098845672,0
P0001,2023-W01,-1991.882183562114,0
P0001,2023-W01,-383.0092955236932,0
P0001,2023-W01,-610.380406757007,0
P0001,2023-W01,-130.96722712014426,0
P0001,2023-W01,-391.26698747022516,0
P0001,2023-W01,0.0,0
P0001,2023-W01,-150.00170495111553,0
P0001,2023-W01,0.0,0
P0001,2023-W01,-1615.0911058301529,0
P0001,2023-W01,-936.5398512586938,0
P0001,2023-W01,-3948.081251885237,0
P0001,2023-W01,-655.1277119114726,0
P0001,2023-W01,-2.1674445714032746,0
P0001,2023-W02,-406.101553853924,0
P0001,2023-W02,-909.647250098957,0
P0001,2023-W02,-413.60319428435747,0
P0001,2023-W02,0.0,0
P0001,2023-W02,-1665.2397986432545,0
P0001,2023-W02,-1903.3346527827816,0
P0001,2023-W02,0.0,0
P0001,2023-W02,0.0,0
P0001,2023-W02,-698.8233434603051,0
P0001,2023-W02,-1645.8413808233831,0
P0001,2023-W02,-695.2354332161283,0
P0001,2023-W02,-497.99377959527135,0
P0001,2023-W02,-191.5466479886906,0
P0001,2023-W02,-800.823771991151,0
P0001,2023-W03,0.0,0
P0001,2023-W03,-922.8170982206054,0
P0001,2023-W03,-961.4477775525713,0
P0001,2023-W03,0.0,0
P0001,2023-W03,-466.62794415906086,0
P0001,2023-W03,-785.3009624966031,0
P0001,2023-W03,-441.1575250190626,0
P0001,2023-W03,-3535.7128011912496,0
P0001,2023-W03,-258.5020189393129,0
P0001,2023-W03,-144.66573934394086,0
P0001,2023-W03,-552.533712856078,0
P0001,2023-W03,-558.8945444697575,0
P0001,2023-W03,-1075.0558881672205,0
P0001,2023-W03,-2898.4403958502667,0
P0001,2023-W04,-907.8289915674577,0
P0001,2023-W04,-1779.6077291117438,0
P0001,2023-W04,-367.24422191379796,0
P0001,2023-W04,-553.8488187514786,0
P0001,2023-W04,-542.8008376476134,0
P0001,2023-W04,-581.3615412087937,0
P0001,2023-W04,-1333.706705894191,0
P0001,2023-W04,-2116.515380012175,0
P0001,2023-W04,-232.1310583361663,0
P0001,2023-W04,-191.48113275973893,0
P0001,2023-W04,-750.2583700977117,0
P0001,2023-W04,-693.9414384783333,0
P0001,2023-W04,-503.0412147522386,0
P0001,2023-W04,0.0,0
P0001,2023-W05,-105.83774821585627,0
P0001,2023-W05,-484.3740047439215,0
P0001,2023-W05,-367.24422191379796,0
P0001,2023-W05,-297.41533199772914,0
P0001,2023-W05,-108.72875640750264,0
P0001,2023-W05,-280.35255025623223,0
P0001,2023-W05,-429.5326667478579,0
P0001,2023-W05,-1021.9967368199249,0
P0001,2023-W05,-169.18978923379166,0
P0001,2023-W05,-270.24746458258846,0
P0001,2023-W05,-117.85551307342661,0
P0001,2023-W05,0.0,0
